price_per_m,coors
148333.33333333334,"37.754682,55.729326"
140229.88505747126,"37.784955,55.804106000000004"
344547.35714285716,"37.512353000000004,55.76084399999999"
159090.9090909091,"37.816711,55.81476"
240000.0,"37.638377,55.790767"
172058.82352941178,"37.548806,55.605704"
511627.9069767442,"37.528064,55.712766"
189189.16216216216,"37.758662,55.758002000000005"
125000.0,"37.551932,55.935012"
287200.0,"37.571943,55.81717"
176923.07692307694,"37.603909,55.659764"
327272.7272727273,"37.536868,55.741287"
176923.07692307694,"37.672837,55.640152"
220634.92063492062,"37.501474,55.831231"
448000.0,"37.492051000000004,55.704915"
171298.7012987013,"37.775308,55.751785999999996"
286898.83913764515,"37.666513,55.771661"
198262.24328593997,"37.678712,55.708577000000005"
372000.0,"37.566395,55.766754000000006"
123214.28571428571,"37.583652,55.660906999999995"
536082.4742268041,"37.527903,55.723237"
2161302.5,"37.603577,55.738769"
201149.4252873563,"37.509532,55.853218000000005"
270551.02040816325,"37.710889,55.799769999999995"
141025.64102564103,"37.671444,55.583932"
564984.914893617,"37.605022999999996,55.710809"
324483.15789473685,"37.549067,55.761557999999994"
152941.17647058822,"37.526286,55.638379"
156506.8493150685,"37.439778000000004,55.856683999999994"
1056275.6578947369,"37.555355,55.683406999999995"
145800.0,"37.744163,55.724437"
188249.4004796163,"37.388762,55.908873"
109718.81257275901,"37.704716,55.64571899999999"
571428.5714285715,"37.631541,55.764368999999995"
272727.2727272727,"37.580607,55.772845999999994"
233166.66666666666,"37.673384999999996,55.720149"
155333.33333333334,"37.415433,55.72079300000001"
145800.0,"37.725747,55.613504000000006"
94871.79487179487,"37.655840999999995,55.57829399999999"
168571.42857142858,"37.654574,55.883883"
157575.75757575757,"37.595411,55.627991"
92500.0,"37.655840999999995,55.57829399999999"
110384.06015037594,"37.371863,55.859549"
157843.13725490196,"37.702957,55.747535"
171232.87671232878,"37.670079,55.721929"
152136.75213675213,"37.609083,55.64159"
129999.99999999999,"37.342076,55.628273"
532340.5172413794,"37.575962,55.76912900000001"
125000.00000000001,"37.342076,55.628273"
129999.99999999999,"37.342076,55.628273"
198884.7583643123,"37.557466,55.683524"
252543.26732673266,"37.635363,55.699585"
184412.20650636492,"37.635363,55.699585"
183441.7963224894,"37.635363,55.699585"
177529.2927864215,"37.635363,55.699585"
177453.98868458273,"37.635363,55.699585"
606060.6060606061,"37.604169,55.739716"
802769.5028248588,"37.592715999999996,55.740451"
143421.05263157896,"37.518972999999995,55.872257999999995"
127343.75,"37.794837,55.717401"
138281.25,"37.618686,55.875006000000006"
162711.86440677967,"37.387559,55.840068"
153256.70498084291,"37.699445000000004,55.813541"
158333.33333333334,"37.528765,55.63941"
187007.87401574804,"37.716971,55.794831"
261267.71653543308,"37.615767,55.721503000000006"
709970.2367688023,"37.520671,55.798480000000005"
166666.66666666666,"37.495725,55.85929599999999"
122825.00792393027,"37.67131,55.579811"
128070.17543859649,"37.750514,55.733523"
222368.42105263157,"37.666072,55.718095999999996"
190476.19047619047,"37.667896,55.725706"
173333.33333333334,"37.453693,55.715844"
300000.0,"37.587614,55.784344"
111000.0,"37.864762,55.710854000000005"
185606.0606060606,"37.692959,55.817299"
136363.63636363635,"37.539024,55.604092"
209090.9090909091,"37.514607,55.66829499999999"
197674.41860465117,"37.677642999999996,55.676915"
381818.1818181818,"37.584568,55.74824"
811528.0,"37.571013,55.734973"
432260.5052631579,"37.527903,55.723237"
209375.0,"37.487559000000005,55.827670999999995"
128787.22289890378,"37.426355,55.6576"
147500.0,"37.750182,55.669619999999995"
138961.03896103895,"37.549291,55.932793000000004"
157894.73684210525,"37.588753999999994,55.892355"
167487.68472906403,"37.547962,55.673763"
147727.27272727274,"37.470473,55.802265000000006"
138235.29411764705,"37.806946,55.815367"
207812.5,"37.668399,55.677905"
201960.78431372548,"37.504978,55.809226"
160000.0,"37.529519,55.869890000000005"
140681.81818181818,"37.651466,55.887260999999995"
